Event #0 ----------------------
  t1[ns]  u1[mV]  t2[ns] u2[mV]
185.156   443.9 185.156   412.1
185.352   424.3 185.352   389.8
185.547   376.0 185.547   333.1
185.742   354.2 185.742   309.0
185.938   288.9 185.938   231.9
186.133   241.3 186.133   189.9
186.328   160.1 186.328   100.3
186.523   136.7 186.523    76.0
186.719    57.9 186.719    -8.5
186.914     2.9 186.914   -53.5
187.109   -91.9 187.109  -143.3
187.305  -115.9 187.305  -167.8
187.500  -189.0 187.500  -239.9
187.695  -227.3 187.695  -276.6
187.891  -309.4 187.891  -347.1
188.086  -336.8 188.086  -374.1
188.281  -385.6 188.281  -420.8
188.477  -412.5 188.477  -439.8
188.672  -453.4 188.672  -477.0
188.867  -472.8 188.867  -482.6
189.062  -496.1 189.062  -499.9
189.258  -499.9 189.258  -499.9
189.453  -499.9 189.453  -499.9
189.648  -499.9 189.648  -491.6
189.844  -491.0 189.844  -471.9
190.039  -481.6 190.039  -451.1
190.234  -444.3 190.234  -405.2
190.430  -422.5 190.430  -380.1
190.625  -367.5 190.625  -321.6
190.820  -329.6 190.820  -274.8
191.016  -263.2 191.016  -199.4
191.211  -231.9 191.211  -171.7
191.406  -146.2 191.406   -89.0
191.602  -104.1 191.602   -46.8
191.797   -16.7 191.797    34.4
191.992    23.7 191.992    78.9
192.188   101.0 192.188   155.4
192.383   144.5 192.383   192.4
192.578   230.2 192.578   270.0
192.773   253.7 192.773   296.1
192.969   313.3 192.969   352.3
193.164   356.3 193.164   382.0
193.359   390.0 193.359   414.8
193.555   416.3 193.555   431.8
193.750   444.8 193.750   458.3
193.945   462.4 193.945   470.4
194.141   479.2 194.141   481.3
194.336   484.7 194.336   484.2
194.531   486.1 194.531   478.1
194.727   481.5 194.727   467.2
194.922   467.3 194.922   442.4
195.117   454.9 195.117   429.1
195.312   420.5 195.312   383.0
195.508   390.0 195.508   352.3
195.703   341.3 195.703   292.8
195.898   312.4 195.898   263.8
196.094   253.5 196.094   192.3
196.289   200.6 196.289   141.9
196.484   122.3 196.484    60.5
196.680    81.3 196.680    27.3
196.875    -4.2 196.875   -66.7
197.070   -50.2 197.070  -111.7
197.266  -146.1 197.266  -195.9
197.461  -170.5 197.461  -222.8
197.656  -236.6 197.656  -285.6
197.852  -282.8 197.852  -325.2
198.047  -342.3 198.047  -384.5
198.242  -375.2 198.242  -407.3
198.438  -424.1 198.438  -451.6
198.633  -453.0 198.633  -475.6
198.828  -493.8 198.828  -499.9
199.023  -499.9 199.023  -499.9
199.219  -499.9 199.219  -499.9
199.414  -499.9 199.414  -499.9
199.609  -499.9 199.609  -497.7
199.805  -499.9 199.805  -480.3
Event #5 ----------------------
  t1[ns]  u1[mV]  t2[ns] u2[mV]
  0.000  -476.6   0.000  -443.3
  0.195  -430.5   0.195  -392.5
  0.391  -409.1   0.391  -367.7
  0.586  -354.2   0.586  -305.4
  0.781  -305.6   0.781  -254.7
  0.977  -246.3   0.977  -187.9
  1.172  -214.1   1.172  -150.9
  1.367  -135.4   1.367   -72.3
  1.562   -77.8   1.562   -21.0
  1.758     6.3   1.758    66.0
  1.953    47.2   1.953    96.3
  2.148   109.5   2.148   165.5
  2.344   169.2   2.344   213.8
  2.539   231.3   2.539   275.8
  2.734   261.3   2.734   298.8
  2.930   322.7   2.930   361.1
  3.125   356.9   3.125   391.5
  3.320   398.4   3.320   419.4
  3.516   416.0   3.516   433.5
  3.711   448.1   3.711   464.9
  3.906   465.8   3.906   475.7
  4.102   477.7   4.102   481.1
  4.297   485.1   4.297   482.8
  4.492   481.8   4.492   473.8
  4.688   479.4   4.688   467.2
  4.883   462.6   4.883   436.9
  5.078   448.9   5.078   420.9
  5.273   413.5   5.273   377.2
  5.469   387.4   5.469   348.5
  5.664   329.7   5.664   282.9
  5.859   309.8   5.859   257.3
  6.055   238.1   6.055   183.8
  6.250   200.1   6.250   143.3
  6.445   120.3   6.445    60.8
  6.641    83.1   6.641    25.5
  6.836     2.1   6.836   -61.3
  7.031   -49.1   7.031  -105.2
  7.227  -129.1   7.227  -189.3
  7.422  -164.3   7.422  -209.8
  7.617  -234.5   7.617  -286.3
  7.812  -277.4   7.812  -318.2
  8.008  -345.8   8.008  -380.8
  8.203  -369.2   8.203  -401.0
  8.398  -418.6   8.398  -445.9
  8.594  -439.0   8.594  -462.9
  8.789  -476.7   8.789  -492.1
  8.984  -484.0   8.984  -494.5
  9.180  -499.9   9.180  -499.9
  9.375  -499.9   9.375  -499.9
  9.570  -499.9   9.570  -488.4
  9.766  -497.5   9.766  -478.0
  9.961  -477.2   9.961  -449.6
 10.156  -455.5  10.156  -423.2
 10.352  -411.5  10.352  -371.8
 10.547  -384.1  10.547  -339.9
 10.742  -316.6  10.742  -263.3
 10.938  -280.8  10.938  -224.5
 11.133  -209.1  11.133  -150.9
 11.328  -175.7  11.328  -117.8
 11.523   -89.3  11.523   -37.1
 11.719   -44.1  11.719    16.6
 11.914    31.5  11.914    89.4
 12.109    72.4  12.109   125.6
 12.305   156.0  12.305   202.2
 12.500   190.4  12.500   240.0
 12.695   266.7  12.695   306.7
 12.891   296.0  12.891   327.5
 13.086   350.6  13.086   380.6
 13.281   378.6  13.281   403.4
 13.477   420.4  13.477   442.5
 13.672   436.5  13.672   455.1
 13.867   463.8  13.867   470.9
 14.062   475.7  14.062   480.3
 14.258   482.9  14.258   481.8
 14.453   486.0  14.453   480.4
 14.648   480.2  14.648   465.6
 14.844   474.1  14.844   455.4
 15.039   449.1  15.039   421.3
 15.234   436.0  15.234   405.3
 15.430   393.6  15.430   349.0
 15.625   358.8  15.625   317.4
 15.820   293.1  15.820   241.9
 16.016   273.5  16.016   219.5
 16.211   204.6  16.211   140.4
 16.406   154.3  16.406    96.3
 16.602    62.1  16.602     4.6
 16.797    35.7  16.797   -22.2
 16.992   -41.9  16.992  -100.8
 17.188   -85.0  17.188  -143.5
 17.383  -181.3  17.383  -227.4
 17.578  -214.3  17.578  -263.0
 17.773  -274.6  17.773  -324.1
 17.969  -310.0  17.969  -352.4
 18.164  -369.4  18.164  -408.7
 18.359  -399.5  18.359  -424.1
 18.555  -445.6  18.555  -467.6
 18.750  -460.8  18.750  -479.3
 18.945  -489.9  18.945  -499.9
 19.141  -494.8  19.141  -499.9
 19.336  -499.9  19.336  -499.9
 19.531  -499.9  19.531  -496.7
 19.727  -499.3  19.727  -476.6
 19.922  -487.1  19.922  -460.6
 20.117  -457.0  20.117  -424.8
 20.312  -431.1  20.312  -389.8
 20.508  -382.6  20.508  -332.1
 20.703  -356.8  20.703  -308.0
 20.898  -286.2  20.898  -234.5
 21.094  -249.2  21.094  -194.3
 21.289  -168.1  21.289  -115.6
 21.484  -127.6  21.484   -69.8
 21.680   -48.0  21.680    12.2
 21.875    -1.6  21.875    53.2
 22.070    92.5  22.070   142.0
 22.266   120.7  22.266   172.9
 22.461   193.2  22.461   244.7
 22.656   247.4  22.656   285.1
 22.852   293.2  22.852   332.4
 23.047   329.4  23.047   357.9
 23.242   375.3  23.242   401.8
 23.438   403.9  23.438   424.4
 23.633   438.4  23.633   454.5
 23.828   452.4  23.828   465.7
 24.023   470.7  24.023   477.7
 24.219   481.4  24.219   482.8
 24.414   484.9  24.414   478.2
 24.609   481.3  24.609   472.5
 24.805   471.1  24.805   450.3
 25.000   458.3  25.000   433.4
 25.195   428.9  25.195   394.2
 25.391   409.9  25.391   373.6
 25.586   365.8  25.586   317.9
 25.781   325.0  25.781   276.3
 25.977   259.0  25.977   203.4
 26.172   222.6  26.172   172.4
 26.367   144.3  26.367    81.9
 26.562   100.5  26.562    37.4
 26.758     3.2  26.758   -52.5
 26.953   -24.2  26.953   -82.2
 27.148   -97.5  27.148  -155.1
 27.344  -149.6  27.344  -202.8
 27.539  -219.0  27.539  -273.8
 27.734  -261.0  27.734  -304.4
 27.930  -320.7  27.930  -363.7
 28.125  -358.9  28.125  -396.1
 28.320  -415.4  28.320  -442.3
 28.516  -434.1  28.516  -454.9
 28.711  -469.5  28.711  -482.7
 28.906  -485.3  28.906  -495.7
 29.102  -499.9  29.102  -499.9
 29.297  -499.9  29.297  -499.9
 29.492  -499.9  29.492  -498.1
 29.688  -498.3  29.688  -483.2
 29.883  -479.0  29.883  -451.6
 30.078  -464.8  30.078  -430.1
 30.273  -422.2  30.273  -381.6
 30.469  -386.0  30.469  -339.3
 30.664  -334.0  30.664  -281.6
 30.859  -297.8  30.859  -245.9
 31.055  -226.5  31.055  -171.2
 31.250  -186.1  31.250  -127.3
 31.445   -99.3  31.445   -42.1
 31.641   -66.1  31.641    -4.2
 31.836    20.6  31.836    79.7
 32.031    71.5  32.031   127.8
 32.227   145.8  32.227   197.5
 32.422   174.5  32.422   223.6
 32.617   252.2  32.617   295.4
 32.812   288.2  32.812   329.7
 33.008   349.0  33.008   381.6
 33.203   369.1  33.203   401.1
 33.398   415.4  33.398   432.5
 33.594   433.3  33.594   453.5
 33.789   460.6  33.789   469.8
 33.984   471.7  33.984   478.0
 34.180   483.1  34.180   482.8
 34.375   485.7  34.375   480.8
 34.570   480.5  34.570   465.9
 34.766   477.3  34.766   459.7
 34.961   455.0  34.961   426.4
 35.156   437.7  35.156   407.5
 35.352   394.2  35.352   352.6
 35.547   372.7  35.547   331.2
 35.742   317.0  35.742   267.4
 35.938   271.6  35.938   220.9
 36.133   207.8  36.133   148.2
 36.328   172.1  36.328   115.5
 36.523    88.3  36.523    33.1
 36.719    52.9  36.719    -8.0
 36.914   -40.4  36.914   -95.2
 37.109   -74.5  37.109  -130.9
 37.305  -161.4  37.305  -213.1
 37.500  -210.3  37.500  -259.1
 37.695  -276.3  37.695  -326.7
 37.891  -311.4  37.891  -341.9
 38.086  -368.2  38.086  -406.8
 38.281  -394.8  38.281  -425.3
 38.477  -446.5  38.477  -466.5
 38.672  -459.2  38.672  -476.3
 38.867  -487.9  38.867  -498.6
 39.062  -499.1  39.062  -499.9
 39.258  -499.9  39.258  -499.9
 39.453  -499.9  39.453  -495.7
 39.648  -498.4  39.648  -478.5
 39.844  -483.4  39.844  -457.3
 40.039  -453.0  40.039  -419.1
 40.234  -434.8  40.234  -398.8
 40.430  -383.9  40.430  -333.4
 40.625  -341.6  40.625  -287.9
 40.820  -277.6  40.820  -220.6
 41.016  -246.7  41.016  -190.7
 41.211  -179.7  41.211  -118.6
 41.406  -120.2  41.406   -61.4
 41.602   -38.1  41.602    17.9
 41.797     7.5  41.797    60.7
 41.992    82.2  41.992   140.1
 42.188   145.0  42.188   192.6
 42.383   202.7  42.383   249.2
 42.578   239.1  42.578   284.3
 42.773   297.6  42.773   337.2
 42.969   331.3  42.969   361.5
 43.164   382.6  43.164   408.1
 43.359   399.6  43.359   422.5
 43.555   431.0  43.555   449.2
 43.750   452.3  43.750   467.2
 43.945   474.9  43.945   477.7
 44.141   478.9  44.141   481.8
 44.336   486.1  44.336   478.9
 44.531   484.5  44.531   473.1
 44.727   473.9  44.727   453.0
 44.922   462.9  44.922   439.4
 45.117   434.5  45.117   401.6
 45.312   405.9  45.312   370.5
 45.508   353.5  45.508   304.2
 45.703   332.0  45.703   287.9
 45.898   265.9  45.898   210.4
 46.094   237.4  46.094   178.3
 46.289   155.4  46.289    90.6
 46.484   114.0  46.484    55.8
 46.680    27.0  46.680   -30.7
 46.875   -16.5  46.875   -77.0
 47.070  -103.3  47.070  -164.2
 47.266  -127.7  47.266  -178.1
 47.461  -205.9  47.461  -260.8
 47.656  -244.1  47.656  -293.9
 47.852  -322.8  47.852  -368.4
 48.047  -350.3  48.047  -382.3
 48.242  -400.6  48.242  -431.1
 48.438  -429.0  48.438  -450.5
 48.633  -465.2  48.633  -483.6
 48.828  -476.9  48.828  -490.0
 49.023  -499.9  49.023  -499.9
 49.219  -499.9  49.219  -499.9
 49.414  -499.9  49.414  -499.4
 49.609  -499.9  49.609  -488.7
 49.805  -484.6  49.805  -460.8
 50.000  -469.4  50.000  -438.6
 50.195  -429.5  50.195  -389.1
 50.391  -407.5  50.391  -362.2
 50.586  -357.3  50.586  -309.0
 50.781  -315.2  50.781  -261.5
 50.977  -246.2  50.977  -187.5
 51.172  -204.8  51.172  -150.5
 51.367  -133.4  51.367   -68.6
 51.562   -85.4  51.562   -24.2
 51.758     4.4  51.758    61.9
 51.953    43.5  51.953   102.5
 52.148   128.8  52.148   177.9
 52.344   170.0  52.344   220.1
 52.539   234.7  52.539   281.1
 52.734   264.6  52.734   305.3
 52.930   325.9  52.930   360.0
 53.125   362.6  53.125   391.1
 53.320   402.0  53.320   423.4
 53.516   418.8  53.516   440.4
 53.711   454.1  53.711   467.2
 53.906   466.0  53.906   475.2
 54.102   478.2  54.102   481.2
 54.297   483.1  54.297   482.9
 54.492   482.5  54.492   472.4
 54.688   477.8  54.688   462.7
 54.883   456.3  54.883   430.1
 55.078   445.5  55.078   417.8
 55.273   405.9  55.273   366.7
 55.469   381.6  55.469   341.0
 55.664   325.8  55.664   277.5
 55.859   298.2  55.859   249.8
 56.055   231.2  56.055   169.2
 56.250   190.5  56.250   134.4
 56.445    99.5  56.445    38.2
 56.641    73.1  56.641    13.8
 56.836   -21.4  56.836   -82.1
 57.031   -59.9  57.031  -118.2
 57.227  -131.4  57.227  -193.2
 57.422  -181.3  57.422  -228.7
 57.617  -245.8  57.617  -299.4
 57.812  -293.6  57.812  -333.9
 58.008  -355.1  58.008  -388.3
 58.203  -379.9  58.203  -410.9
 58.398  -424.0  58.398  -455.0
 58.594  -452.8  58.594  -472.0
 58.789  -478.7  58.789  -491.7
 58.984  -486.7  58.984  -497.5
 59.180  -499.9  59.180  -499.9
 59.375  -499.9  59.375  -499.9
 59.570  -499.9  59.570  -485.0
 59.766  -494.6  59.766  -470.8
 59.961  -473.4  59.961  -443.4
 60.156  -450.5  60.156  -412.6
 60.352  -402.0  60.352  -355.5
 60.547  -371.1  60.547  -323.6
 60.742  -311.3  60.742  -258.3
 60.938  -273.7  60.938  -221.2
 61.133  -199.6  61.133  -142.5
 61.328  -156.7  61.328  -102.3
 61.523   -71.7  61.523   -12.4
 61.719   -26.6  61.719    28.1
 61.914    49.6  61.914   102.7
 62.109    95.2  62.109   146.3
 62.305   166.4  62.305   212.0
 62.500   208.5  62.500   258.8
 62.695   280.0  62.695   318.6
 62.891   302.2  62.891   340.8
 63.086   363.5  63.086   390.3
 63.281   386.8  63.281   413.6
 63.477   428.1  63.477   449.1
 63.672   443.7  63.672   458.0
 63.867   467.0  63.867   475.4
 64.062   479.4  64.062   482.6
 64.258   483.7  64.258   478.9
 64.453   483.8  64.453   475.7
 64.648   476.5  64.648   458.4
 64.844   469.6  64.844   447.8
 65.039   436.1  65.039   405.6
 65.234   424.1  65.234   389.9
 65.430   381.0  65.430   339.3
 65.625   351.0  65.625   306.0
 65.820   286.4  65.820   229.1
 66.016   246.8  66.016   197.3
 66.211   179.0  66.211   118.8
 66.406   130.4  66.406    66.4
 66.602    51.5  66.602   -15.6
 66.797    17.5  66.797   -41.2
 66.992   -64.9  66.992  -127.1
 67.188  -114.0  67.188  -174.2
 67.383  -201.1  67.383  -252.9
 67.578  -226.4  67.578  -274.6
 67.773  -296.1  67.773  -342.5
 67.969  -334.4  67.969  -375.2
 68.164  -390.4  68.164  -425.3
 68.359  -406.7  68.359  -435.2
 68.555  -455.8  68.555  -473.6
 68.750  -468.3  68.750  -486.8
 68.945  -492.1  68.945  -499.9
 69.141  -498.1  69.141  -499.9
 69.336  -499.9  69.336  -499.9
 69.531  -499.9  69.531  -489.0
 69.727  -491.7  69.727  -468.0
 69.922  -479.3  69.922  -452.7
 70.117  -446.8  70.117  -406.1
 70.312  -413.9  70.312  -372.2
 70.508  -360.1  70.508  -311.9
 70.703  -330.3  70.703  -280.7
 70.898  -260.0  70.898  -202.0
 71.094  -208.3  71.094  -150.4
 71.289  -139.0  71.289   -83.3
 71.484   -95.9  71.484   -42.7
 71.680   -18.2  71.680    41.4
 71.875    24.4  71.875    79.8
 72.070   108.6  72.070   166.1
 72.266   148.6  72.266   191.9
 72.461   212.0  72.461   255.1
 72.656   256.8  72.656   300.8
 72.852   321.2  72.852   360.1
 73.047   347.1  73.047   374.8
 73.242   390.8  73.242   415.4
 73.438   419.7  73.438   439.1
 73.633   446.6  73.633   462.0
 73.828   460.4  73.828   472.3
 74.023   476.6  74.023   481.2
 74.219   483.6  74.219   484.2
 74.414   483.0  74.414   474.9
 74.609   480.1  74.609   469.6
 74.805   465.9  74.805   443.2
 75.000   452.7  75.000   427.0
 75.195   422.4  75.195   386.2
 75.391   402.2  75.391   366.5
 75.586   347.1  75.586   299.2
 75.781   316.7  75.781   267.3
 75.977   244.4  75.977   186.6
 76.172   208.6  76.172   151.1
 76.367   131.9  76.367    67.4
 76.562    96.4  76.562    35.8
 76.758    -5.9  76.758   -65.6
 76.953   -60.7  76.953  -113.9
 77.148  -110.2  77.148  -172.0
 77.344  -169.8  77.344  -222.2
 77.539  -234.4  77.539  -287.7
 77.734  -298.7  77.734  -343.0
 77.930  -337.5  77.930  -378.4
 78.125  -369.3  78.125  -400.1
 78.320  -430.3  78.320  -454.3
 78.516  -446.7  78.516  -465.0
 78.711  -477.3  78.711  -494.1
 78.906  -489.4  78.906  -494.5
 79.102  -499.0  79.102  -499.9
 79.297  -499.9  79.297  -499.9
 79.492  -499.9  79.492  -491.7
 79.688  -499.9  79.688  -478.3
 79.883  -482.9  79.883  -453.9
 80.078  -460.3  80.078  -425.2
 80.273  -411.0  80.273  -370.2
 80.469  -390.2  80.469  -344.4
 80.664  -338.6  80.664  -287.5
 80.859  -291.9  80.859  -239.5
 81.055  -224.9  81.055  -165.0
 81.250  -179.9  81.250  -120.4
 81.445  -123.3  81.445   -64.0
 81.641   -66.6  81.641   -13.5
 81.836    -1.5  81.836    62.6
 82.031    50.6  82.031   100.8
 82.227   117.9  82.227   171.4
 82.422   174.9  82.422   224.1
 82.617   237.7  82.617   283.3
 82.812   272.9  82.812   314.2
 83.008   335.7  83.008   365.2
 83.203   370.5  83.203   400.7
 83.398   410.8  83.398   429.4
 83.594   428.9  83.594   445.2
 83.789   453.1  83.789   467.8
 83.984   469.9  83.984   480.4
 84.180   483.8  84.180   483.2
 84.375   483.8  84.375   480.7
 84.570   483.3  84.570   470.9
 84.766   476.8  84.766   462.1
 84.961   459.2  84.961   431.8
 85.156   440.4  85.156   412.7
 85.352   406.0  85.352   366.0
 85.547   378.8  85.547   338.6
 85.742   326.3  85.742   274.0
 85.938   285.9  85.938   237.1
 86.133   227.9  86.133   165.0
 86.328   180.5  86.328   118.9
 86.523   115.9  86.523    46.6
 86.719    58.6  86.719    -0.6
 86.914   -12.3  86.914   -74.5
 87.109   -68.5  87.109  -125.5
 87.305  -146.6  87.305  -205.3
 87.500  -193.6  87.500  -244.3
 87.695  -256.1  87.695  -307.6
 87.891  -306.5  87.891  -348.0
 88.086  -356.8  88.086  -400.3
 88.281  -384.8  88.281  -414.1
 88.477  -420.9  88.477  -450.5
 88.672  -453.3  88.672  -471.0
 88.867  -482.9  88.867  -499.4
 89.062  -497.9  89.062  -499.9
 89.258  -499.9  89.258  -499.9
 89.453  -499.9  89.453  -498.0
 89.648  -499.9  89.648  -486.2
 89.844  -489.3  89.844  -466.9
 90.039  -464.8  90.039  -436.0
 90.234  -440.7  90.234  -402.9
 90.430  -399.8  90.430  -359.2
 90.625  -368.4  90.625  -319.6
 90.820  -303.0  90.820  -248.4
 91.016  -252.4  91.016  -194.7
 91.211  -187.5  91.211  -130.0
 91.406  -143.1  91.406   -77.8
 91.602   -57.7  91.602    -9.2
 91.797   -10.6  91.797    42.8
 91.992    67.9  91.992   119.6
 92.188   112.9  92.188   169.4
 92.383   175.0  92.383   228.4
 92.578   228.4  92.578   269.8
 92.773   284.7  92.773   323.2
 92.969   311.1  92.969   353.1
 93.164   365.3  93.164   392.5
 93.359   392.6  93.359   415.5
 93.555   428.1  93.555   445.5
 93.750   448.5  93.750   460.2
 93.945   469.9  93.945   477.7
 94.141   479.8  94.141   482.5
 94.336   484.9  94.336   481.5
 94.531   484.2  94.531   477.6
 94.727   477.7  94.727   460.7
 94.922   464.8  94.922   442.5
 95.117   440.9  95.117   409.0
 95.312   416.0  95.312   380.8
 95.508   382.0  95.508   334.8
 95.703   340.5  95.703   293.8
 95.898   281.1  95.898   224.7
 96.094   245.9  96.094   190.7
 96.289   181.8  96.289   120.1
 96.484   133.0  96.484    70.1
 96.680    61.9  96.680    -1.8
 96.875    13.9  96.875   -46.3
 97.070   -77.8  97.070  -142.3
 97.266  -129.6  97.266  -186.4
 97.461  -204.0  97.461  -251.1
 97.656  -244.0  97.656  -293.9
 97.852  -298.9  97.852  -345.1
 98.047  -338.8  98.047  -376.2
 98.242  -389.8  98.242  -427.1
 98.438  -424.9  98.438  -447.0
 98.633  -459.6  98.633  -482.2
 98.828  -481.7  98.828  -491.4
 99.023  -497.5  99.023  -499.9
 99.219  -499.9  99.219  -499.9
 99.414  -499.9  99.414  -499.9
 99.609  -499.9  99.609  -490.6
 99.805  -490.3  99.805  -466.4
100.000  -472.1 100.000  -440.6
100.195  -441.1 100.195  -404.1
100.391  -413.6 100.391  -369.9
100.586  -352.5 100.586  -306.7
100.781  -319.0 100.781  -266.1
100.977  -257.1 100.977  -193.0
101.172  -210.4 101.172  -151.1
101.367  -136.4 101.367   -78.3
101.562   -93.0 101.562   -35.7
101.758   -10.8 101.758    53.0
101.953    45.1 101.953   109.2
102.148   107.3 102.148   165.0
102.344   146.6 102.344   197.8
102.539   226.7 102.539   274.5
102.734   269.5 102.734   308.0
102.930   321.8 102.930   358.5
103.125   360.0 103.125   385.7
103.320   404.4 103.320   426.8
103.516   425.9 103.516   445.1
103.711   452.1 103.711   466.5
103.906   465.2 103.906   472.2
104.102   478.8 104.102   481.4
104.297   483.5 104.297   480.2
104.492   481.6 104.492   470.8
104.688   476.2 104.688   462.0
104.883   459.3 104.883   433.8
105.078   442.8 105.078   413.8
105.273   406.3 105.273   369.5
105.469   384.3 105.469   343.6
105.664   337.3 105.664   287.7
105.859   295.0 105.859   242.2
106.055   229.7 106.055   169.0
106.250   186.9 106.250   134.5
106.445   110.2 106.445    45.1
106.641    62.0 106.641    -1.6
106.836   -20.0 106.836   -81.9
107.031   -63.2 107.031  -121.8
107.227  -128.2 107.227  -192.6
107.422  -181.0 107.422  -228.6
107.617  -251.0 107.617  -298.6
107.812  -281.8 107.812  -325.4
108.008  -335.6 108.008  -378.7
108.203  -383.9 108.203  -413.2
108.398  -422.9 108.398  -454.7
108.594  -447.8 108.594  -463.1
108.789  -474.9 108.789  -492.6
108.984  -494.5 108.984  -497.8
109.180  -499.9 109.180  -499.9
109.375  -499.9 109.375  -499.9
109.570  -499.9 109.570  -492.2
109.766  -495.6 109.766  -471.3
109.961  -474.5 109.961  -448.7
110.156  -456.8 110.156  -422.7
110.352  -414.4 110.352  -372.1
110.547  -376.6 110.547  -325.7
110.742  -322.8 110.742  -267.3
110.938  -275.9 110.938  -219.4
111.133  -212.0 111.133  -152.4
111.328  -147.3 111.328   -88.6
111.523   -80.8 111.523   -19.9
111.719   -32.6 111.719    28.6
111.914    45.4 111.914   107.2
112.109    94.4 112.109   151.0
112.305   162.2 112.305   215.6
112.500   204.6 112.500   252.0
112.695   270.7 112.695   313.9
112.891   314.3 112.891   349.8
113.086   361.3 113.086   386.9
113.281   387.3 113.281   412.1
113.477   423.2 113.477   442.0
113.672   446.2 113.672   460.6
113.867   465.1 113.867   475.3
114.062   474.0 114.062   480.9
114.258   483.0 114.258   482.1
114.453   484.8 114.453   478.4
114.648   477.9 114.648   460.9
114.844   468.8 114.844   448.8
115.039   447.0 115.039   416.6
115.234   422.3 115.234   390.7
115.430   386.5 115.430   344.1
115.625   353.8 115.625   306.8
115.820   289.1 115.820   239.0
116.016   243.7 116.016   190.0
116.211   183.4 116.211   122.9
116.406   139.4 116.406    82.4
116.602    64.0 116.602     3.3
116.797    10.3 116.797   -48.6
116.992   -66.0 116.992  -126.5
117.188  -103.4 117.188  -156.5
117.383  -181.4 117.383  -236.8
117.578  -231.8 117.578  -278.6
117.773  -294.6 117.773  -338.7
117.969  -335.7 117.969  -372.2
118.164  -380.2 118.164  -416.6
118.359  -417.6 118.359  -446.4
118.555  -450.7 118.555  -473.5
118.750  -469.6 118.750  -481.9
118.945  -491.3 118.945  -499.9
119.141  -499.9 119.141  -499.9
119.336  -499.9 119.336  -499.9
119.531  -499.9 119.531  -494.7
119.727  -492.5 119.727  -473.1
119.922  -478.8 119.922  -449.0
120.117  -446.0 120.117  -408.4
120.312  -422.3 120.312  -381.6
120.508  -376.8 120.508  -329.2
120.703  -327.8 120.703  -271.4
120.898  -272.3 120.898  -213.5
121.094  -226.2 121.094  -172.1
121.289  -155.1 121.289   -94.8
121.484   -99.4 121.484   -34.8
121.680   -28.1 121.680    35.6
121.875    27.2 121.875    81.2
122.070    95.4 122.070   149.9
122.266   146.9 122.266   205.1
122.461   212.4 122.461   260.8
122.656   254.8 122.656   295.3
122.852   315.2 122.852   350.6
123.047   345.7 123.047   379.0
123.242   389.0 123.242   417.4
123.438   411.9 123.438   432.3
123.633   443.0 123.633   457.2
123.828   461.9 123.828   473.4
124.023   477.6 124.023   481.5
124.219   481.6 124.219   481.1
124.414   483.6 124.414   474.0
124.609   479.1 124.609   466.1
124.805   465.6 124.805   441.8
125.000   453.9 125.000   428.3
125.195   425.2 125.195   388.5
125.391   395.8 125.391   356.8
125.586   345.2 125.586   298.4
125.781   313.5 125.781   262.3
125.977   244.0 125.977   188.5
126.172   194.5 126.172   137.1
126.367   132.1 126.367    66.2
126.562    82.7 126.562    27.1
126.758    -1.0 126.758   -61.3
126.953   -49.0 126.953  -107.9
127.148  -132.8 127.148  -193.5
127.344  -178.3 127.344  -228.4
127.539  -238.3 127.539  -292.7
127.734  -287.3 127.734  -328.6
127.930  -334.6 127.930  -376.9
128.125  -373.4 128.125  -402.7
128.320  -423.9 128.320  -452.3
128.516  -446.0 128.516  -465.4
128.711  -478.8 128.711  -495.4
128.906  -489.7 128.906  -498.3
129.102  -499.9 129.102  -499.9
129.297  -499.9 129.297  -499.9
129.492  -499.9 129.492  -490.3
129.688  -497.8 129.688  -477.4
129.883  -476.3 129.883  -449.7
130.078  -451.5 130.078  -415.0
130.273  -411.4 130.273  -369.1
130.469  -382.8 130.469  -338.8
130.664  -327.3 130.664  -273.3
130.859  -284.0 130.859  -230.6
131.055  -208.6 131.055  -147.6
131.250  -170.0 131.250  -107.3
131.445   -91.6 131.445   -24.9
131.641   -31.0 131.641    28.7
131.836    43.9 131.836    98.4
132.031    91.0 132.031   146.3
132.227   164.4 132.227   212.0
132.422   211.9 132.422   254.7
132.617   271.0 132.617   312.3
132.812   302.7 132.812   339.9
133.008   363.0 133.008   388.5
133.203   386.3 133.203   412.0
133.398   427.7 133.398   447.5
133.594   441.5 133.594   458.4
133.789   467.3 133.789   474.4
133.984   475.9 133.984   480.5
134.180   483.5 134.180   481.0
134.375   485.1 134.375   479.1
134.570   477.6 134.570   459.4
134.766   468.3 134.766   447.1
134.961   445.6 134.961   415.5
135.156   423.2 135.156   392.3
135.352   388.4 135.352   348.3
135.547   351.9 135.547   308.4
135.742   299.5 135.742   245.4
135.938   252.2 135.938   196.3
136.133   184.0 136.133   123.8
136.328   134.2 136.328    75.8
136.523    60.3 136.523    -5.0
136.719    12.6 136.719   -44.0
136.914   -65.0 136.914  -124.5
137.109  -113.2 137.109  -166.5
137.305  -194.1 137.305  -246.1
137.500  -226.7 137.500  -279.8
137.695  -293.8 137.695  -340.4
137.891  -342.4 137.891  -377.1
138.086  -385.3 138.086  -417.3
138.281  -420.7 138.281  -442.4
138.477  -451.9 138.477  -476.8
138.672  -472.9 138.672  -484.8
138.867  -492.1 138.867  -499.9
